UF,Municipio,RDPC
Maranhão,TURILÂNDIA,174.09
Maranhão,TUTÓIA,235.35
Maranhão,URBANO SANTOS,186.07
Maranhão,VARGEM GRANDE,165.37
Maranhão,VIANA,272.76
Maranhão,VILA NOVA DOS MARTÍRIOS,252.89
Maranhão,VITÓRIA DO MEARIM,230.76
Maranhão,VITORINO FREIRE,265.69
Maranhão,ZÉ DOCA,259.21
Piauí,ACAUÃ,199.35
Piauí,AGRICOLÂNDIA,245.68
Piauí,ÁGUA BRANCA,335.63
Piauí,ALAGOINHA DO PIAUÍ,222.87
Piauí,ALEGRETE DO PIAUÍ,268.12
Piauí,ALTO LONGÁ,272.28
Piauí,ALTOS,314.48
Piauí,ALVORADA DO GURGUÉIA,203.23
Piauí,AMARANTE,284.71
Piauí,ANGICAL DO PIAUÍ,356.17
Piauí,ANÍSIO DE ABREU,221.91
Piauí,ANTÔNIO ALMEIDA,293.53
Piauí,AROAZES,265.91
Piauí,AROEIRAS DO ITAIM,182.29
Piauí,ARRAIAL,195.46
Piauí,ASSUNÇÃO DO PIAUÍ,141.79
Piauí,AVELINO LOPES,218.97
Piauí,BAIXA GRANDE DO RIBEIRO,225.94
Piauí,BARRA D'ALCÂNTARA,211.18
Piauí,BARRAS,257.99
Piauí,BARREIRAS DO PIAUÍ,260.79
Piauí,BARRO DURO,359.06
Piauí,BATALHA,230.66
Piauí,BELA VISTA DO PIAUÍ,203.61
Piauí,BELÉM DO PIAUÍ,226.26
Piauí,BENEDITINOS,263.09
Piauí,BERTOLÍNIA,325.94
Piauí,BETÂNIA DO PIAUÍ,164.69
Piauí,BOA HORA,221.27
Piauí,BOCAINA,366.07
Piauí,BOM JESUS,501.14
Piauí,BOM PRINCÍPIO DO PIAUÍ,211.44
Piauí,BONFIM DO PIAUÍ,233.05
Piauí,BOQUEIRÃO DO PIAUÍ,253.4
Piauí,BRASILEIRA,281.71
Piauí,BREJO DO PIAUÍ,218.15
Piauí,BURITI DOS LOPES,236.13
Piauí,BURITI DOS MONTES,212.72
Piauí,CABECEIRAS DO PIAUÍ,229.86
Piauí,CAJAZEIRAS DO PIAUÍ,210.45
Piauí,CAJUEIRO DA PRAIA,246.88
Piauí,CALDEIRÃO GRANDE DO PIAUÍ,262.36
Piauí,CAMPINAS DO PIAUÍ,209
Piauí,CAMPO ALEGRE DO FIDALGO,213.61
Piauí,CAMPO GRANDE DO PIAUÍ,237.66
Piauí,CAMPO LARGO DO PIAUÍ,158.02
Piauí,CAMPO MAIOR,401.74
Piauí,CANAVIEIRA,209.47
Piauí,CANTO DO BURITI,279.71
Piauí,CAPITÃO DE CAMPOS,248.79
Piauí,CAPITÃO GERVÁSIO OLIVEIRA,182.53
Piauí,CARACOL,221.08
Piauí,CARAÚBAS DO PIAUÍ,158.13
Piauí,CARIDADE DO PIAUÍ,203.34
Piauí,CASTELO DO PIAUÍ,270.82
Piauí,CAXINGÓ,177.35
Piauí,COCAL,198.58
Piauí,COCAL DE TELHA,245.15
Piauí,COCAL DOS ALVES,183.59
Piauí,COIVARAS,234.94
Piauí,COLÔNIA DO GURGUÉIA,291.37
Piauí,COLÔNIA DO PIAUÍ,277.73
Piauí,CONCEIÇÃO DO CANINDÉ,258.93
Piauí,CORONEL JOSÉ DIAS,200.41
Piauí,CORRENTE,378.39
Piauí,CRISTALÂNDIA DO PIAUÍ,204.49
Piauí,CRISTINO CASTRO,307.32
Piauí,CURIMATÁ,285.52
Piauí,CURRAIS,168.68
Piauí,CURRALINHOS,193.65
Piauí,CURRAL NOVO DO PIAUÍ,186.24
Piauí,DEMERVAL LOBÃO,311.48
Piauí,DIRCEU ARCOVERDE,265.3
Piauí,DOM EXPEDITO LOPES,300.31
Piauí,DOMINGOS MOURÃO,240.24
Piauí,DOM INOCÊNCIO,177.27
Piauí,ELESBÃO VELOSO,283.38
Piauí,ELISEU MARTINS,370.7
Piauí,ESPERANTINA,293.39
Piauí,FARTURA DO PIAUÍ,186.85
Piauí,FLORES DO PIAUÍ,210.02
Piauí,FLORESTA DO PIAUÍ,216.87
Piauí,FLORIANO,536.3
Piauí,FRANCINÓPOLIS,206.73
Piauí,FRANCISCO AYRES,268.41
Piauí,FRANCISCO MACEDO,273.23
Piauí,FRANCISCO SANTOS,330.49
Piauí,FRONTEIRAS,380.62
Piauí,GEMINIANO,208.67
Piauí,GILBUÉS,285.45
Piauí,GUADALUPE,426.79
Piauí,GUARIBAS,162.06
Piauí,HUGO NAPOLEÃO,214.09
Piauí,ILHA GRANDE,221.81
Piauí,INHUMA,263.73
Piauí,IPIRANGA DO PIAUÍ,261.12
Piauí,ISAÍAS COELHO,397.98
Piauí,ITAINÓPOLIS,237.76
Piauí,ITAUEIRA,321.64
Piauí,JACOBINA DO PIAUÍ,190.04
Piauí,JAICÓS,254.28
Piauí,JARDIM DO MULATO,219.06
Piauí,JATOBÁ DO PIAUÍ,209.21
Piauí,JERUMENHA,275.19
Piauí,JOÃO COSTA,191.63
Piauí,JOAQUIM PIRES,163.33
Piauí,JOCA MARQUES,181.17
Piauí,JOSÉ DE FREITAS,316.27
Piauí,JUAZEIRO DO PIAUÍ,206.61
Piauí,JÚLIO BORGES,179.61
Piauí,JUREMA,191.96
Piauí,LAGOINHA DO PIAUÍ,262.04
Piauí,LAGOA ALEGRE,227.89
Piauí,LAGOA DO BARRO DO PIAUÍ,152.61
Piauí,LAGOA DE SÃO FRANCISCO,178.26
Piauí,LAGOA DO PIAUÍ,242.33
Piauí,LAGOA DO SÍTIO,183.92
Piauí,LANDRI SALES,266.01
Piauí,LUÍS CORREIA,236.9
Piauí,LUZILÂNDIA,245.02
Piauí,MADEIRO,150.89
Piauí,MANOEL EMÍDIO,222.62
Piauí,MARCOLÂNDIA,291.91
Piauí,MARCOS PARENTE,295.66
Piauí,MASSAPÊ DO PIAUÍ,195.88
Piauí,MATIAS OLÍMPIO,204.46
Piauí,MIGUEL ALVES,220.05
Piauí,MIGUEL LEÃO,294.48
Piauí,MILTON BRANDÃO,154.73
Piauí,MONSENHOR GIL,273.95
Piauí,MONSENHOR HIPÓLITO,315.6
Piauí,MONTE ALEGRE DO PIAUÍ,217.23
Piauí,MORRO CABEÇA NO TEMPO,150.52
Piauí,MORRO DO CHAPÉU DO PIAUÍ,225.37
Piauí,MURICI DOS PORTELAS,167.87
Piauí,NAZARÉ DO PIAUÍ,218.07
Piauí,NAZÁRIA,239.37
Piauí,NOSSA SENHORA DE NAZARÉ,256.22
Piauí,NOSSA SENHORA DOS REMÉDIOS,183.4
Piauí,NOVO ORIENTE DO PIAUÍ,240.65
Piauí,NOVO SANTO ANTÔNIO,224.54
Piauí,OEIRAS,376.95
Piauí,OLHO D'ÁGUA DO PIAUÍ,225.8
Piauí,PADRE MARCOS,217.66
Piauí,PAES LANDIM,225.53
Piauí,PAJEÚ DO PIAUÍ,261.36
Piauí,PALMEIRA DO PIAUÍ,278.54
Piauí,PALMEIRAIS,197.04
Piauí,PAQUETÁ,202.6
Piauí,PARNAGUÁ,211.44
Piauí,PARNAÍBA,479.58
Piauí,PASSAGEM FRANCA DO PIAUÍ,323.31
Piauí,PATOS DO PIAUÍ,215.75
Piauí,PAU D'ARCO DO PIAUÍ,167.01
Piauí,PAULISTANA,327.06
Piauí,PAVUSSU,193.61
Piauí,PEDRO II,270.17
Piauí,PEDRO LAURENTINO,157.24
Piauí,NOVA SANTA RITA,202.99
Piauí,PICOS,563.88
Piauí,PIMENTEIRAS,249.17
Piauí,PIO IX,227.79
Piauí,PIRACURUCA,286.63
Piauí,PIRIPIRI,380.67
Piauí,PORTO,226.34
Piauí,PORTO ALEGRE DO PIAUÍ,228.65
Piauí,PRATA DO PIAUÍ,212.64
Piauí,QUEIMADA NOVA,168.78
Piauí,REDENÇÃO DO GURGUÉIA,255.92
Piauí,REGENERAÇÃO,299.65
Piauí,RIACHO FRIO,161.99
Piauí,RIBEIRA DO PIAUÍ,185.05
Piauí,RIBEIRO GONÇALVES,274.79
Piauí,RIO GRANDE DO PIAUÍ,248.87
Piauí,SANTA CRUZ DO PIAUÍ,278.49
Piauí,SANTA CRUZ DOS MILAGRES,208.49
Piauí,SANTA FILOMENA,216.61
Piauí,SANTA LUZ,228.71
Piauí,SANTANA DO PIAUÍ,228.52
Piauí,SANTA ROSA DO PIAUÍ,229.29
Piauí,SANTO ANTÔNIO DE LISBOA,329.44
Piauí,SANTO ANTÔNIO DOS MILAGRES,208.58
Piauí,SANTO INÁCIO DO PIAUÍ,235.42
Piauí,SÃO BRAZ DO PIAUÍ,220.96
Piauí,SÃO FÉLIX DO PIAUÍ,309.48
Piauí,SÃO FRANCISCO DE ASSIS DO PIAUÍ,141.81
Piauí,SÃO FRANCISCO DO PIAUÍ,256.79
Piauí,SÃO GONÇALO DO GURGUÉIA,281.43
Piauí,SÃO GONÇALO DO PIAUÍ,227.37
Piauí,SÃO JOÃO DA CANABRAVA,229.34
Piauí,SÃO JOÃO DA FRONTEIRA,198.13
Piauí,SÃO JOÃO DA SERRA,237.11
Piauí,SÃO JOÃO DA VARJOTA,224.99
Piauí,SÃO JOÃO DO ARRAIAL,174.82
Piauí,SÃO JOÃO DO PIAUÍ,368.36
Piauí,SÃO JOSÉ DO DIVINO,214.48
Piauí,SÃO JOSÉ DO PEIXE,242.73
Piauí,SÃO JOSÉ DO PIAUÍ,275.18
Piauí,SÃO JULIÃO,321.2
Piauí,SÃO LOURENÇO DO PIAUÍ,261.24
Piauí,SÃO LUIS DO PIAUÍ,202.89
Piauí,SÃO MIGUEL DA BAIXA GRANDE,256.03
Piauí,SÃO MIGUEL DO FIDALGO,185.84
Piauí,SÃO MIGUEL DO TAPUIO,189.01
Piauí,SÃO PEDRO DO PIAUÍ,249.23
Piauí,SÃO RAIMUNDO NONATO,406.2
Piauí,SEBASTIÃO BARROS,189.25
Piauí,SEBASTIÃO LEAL,198.01
Piauí,SIGEFREDO PACHECO,200.91
Piauí,SIMÕES,261.23
Piauí,SIMPLÍCIO MENDES,362.56
Piauí,SOCORRO DO PIAUÍ,195.08
Piauí,SUSSUAPARA,265.42
Piauí,TAMBORIL DO PIAUÍ,189.63
Piauí,TANQUE DO PIAUÍ,250.37
Piauí,TERESINA,757.57
Piauí,UNIÃO,232.7
Piauí,URUÇUÍ,364.39
Piauí,VALENÇA DO PIAUÍ,380.19
Piauí,VÁRZEA BRANCA,201.49
Piauí,VÁRZEA GRANDE,251.64
Piauí,VERA MENDES,173.56
Piauí,VILA NOVA DO PIAUÍ,259.38
Piauí,WALL FERRAZ,195.12
Ceará,ABAIARA,229.74
Ceará,ACARAPE,259.03
Ceará,ACARAÚ,250.79
Ceará,ACOPIARA,266.65
Ceará,AIUABA,200.6
Ceará,ALCÂNTARAS,243.73
Ceará,ALTANEIRA,240.97
Ceará,ALTO SANTO,265.07
Ceará,AMONTADA,182.47
Ceará,ANTONINA DO NORTE,244.83
Ceará,APUIARÉS,224.63
Ceará,AQUIRAZ,352.6
Ceará,ARACATI,349.26
Ceará,ARACOIABA,245.24
Ceará,ARARENDÁ,205.43
Ceará,ARARIPE,197.14
Ceará,ARATUBA,215.94
Ceará,ARNEIROZ,269.77
Ceará,ASSARÉ,282.6
Ceará,AURORA,255.78
Ceará,BAIXIO,265.94
Ceará,BANABUIÚ,229.99
Ceará,BARBALHA,362.9
Ceará,BARREIRA,246.69
Ceará,BARRO,254.44
Ceará,BARROQUINHA,192.96
Ceará,BATURITÉ,284.88
Ceará,BEBERIBE,304.61
Ceará,BELA CRUZ,221.07
Ceará,BOA VIAGEM,250.47
Ceará,BREJO SANTO,325.64
Ceará,CAMOCIM,269
Ceará,CAMPOS SALES,303.68
Ceará,CANINDÉ,278.9
Ceará,CAPISTRANO,211.95
Ceará,CARIDADE,213.18
Ceará,CARIRÉ,225.75
Ceará,CARIRIAÇU,243.1
Ceará,CARIÚS,239.39
Ceará,CARNAUBAL,224.37
Ceará,CASCAVEL,309.14
Ceará,CATARINA,246.38
Ceará,CATUNDA,225.43
Ceará,CAUCAIA,379.63
Ceará,CEDRO,317.69
Ceará,CHAVAL,208.7
Ceará,CHORÓ,171.62
Ceará,CHOROZINHO,277.4
Ceará,COREAÚ,210.65
Ceará,CRATEÚS,373.18
Ceará,CRATO,470.46
Ceará,CROATÁ,176.12
Ceará,CRUZ,282.51
Ceará,DEPUTADO IRAPUAN PINHEIRO,233.15
Ceará,ERERÊ,246.27
Ceará,EUSÉBIO,623.01
Ceará,FARIAS BRITO,231.88
Ceará,FORQUILHA,300.9
Ceará,FORTALEZA,846.36
Ceará,FORTIM,264.14
Ceará,FRECHEIRINHA,246.03
Ceará,GENERAL SAMPAIO,242.1
Ceará,GRAÇA,195.67
Ceará,GRANJA,173.99
Ceará,GRANJEIRO,221.14
Ceará,GROAÍRAS,304.64
Ceará,GUAIÚBA,239.69
Ceará,GUARACIABA DO NORTE,247.55
Ceará,GUARAMIRANGA,287.35
Ceará,HIDROLÂNDIA,243.41
Ceará,HORIZONTE,322.78
Ceará,IBARETAMA,199.63
Ceará,IBIAPINA,258.57
Ceará,IBICUITINGA,196.54
Ceará,ICAPUÍ,280.79
Ceará,ICÓ,274.01
Ceará,IGUATU,434.67
Ceará,INDEPENDÊNCIA,262.34
Ceará,IPAPORANGA,182.11
Ceará,IPAUMIRIM,380.61
Ceará,IPU,301.38
Ceará,IPUEIRAS,222.22
Ceará,IRACEMA,328.61
Ceará,IRAUÇUBA,211.75
Ceará,ITAIÇABA,296.81
Ceará,ITAITINGA,300.15
Ceará,ITAPAGÉ,263.18
Ceará,ITAPIPOCA,264.08
Ceará,ITAPIÚNA,209.53
Ceará,ITAREMA,214.89
Ceará,ITATIRA,196.02
Ceará,JAGUARETAMA,247.85
Ceará,JAGUARIBARA,287.08
Ceará,JAGUARIBE,294.97
Ceará,JAGUARUANA,274.9
Ceará,JARDIM,241.09
Ceará,JATI,264.55
Ceará,JIJOCA DE JERICOACOARA,365.46
Ceará,JUAZEIRO DO NORTE,439.53
Ceará,JUCÁS,232.22
Ceará,LAVRAS DA MANGABEIRA,288.15
Ceará,LIMOEIRO DO NORTE,410.03
Ceará,MADALENA,225.22
Ceará,MARACANAÚ,372.91
Ceará,MARANGUAPE,307.81
Ceará,MARCO,266.87
Ceará,MARTINÓPOLE,232.17
Ceará,MASSAPÊ,231.47
Ceará,MAURITI,236.11
Ceará,MERUOCA,258.78
Ceará,MILAGRES,261.96
Ceará,MILHÃ,260.95
Ceará,MIRAÍMA,191.56
Ceará,MISSÃO VELHA,293.16
Ceará,MOMBAÇA,243.85
Ceará,MONSENHOR TABOSA,237.18
Ceará,MORADA NOVA,276.36
Ceará,MORAÚJO,174.55
Ceará,MORRINHOS,208.9
Ceará,MUCAMBO,269.65
Ceará,MULUNGU,246.35
Ceará,NOVA OLINDA,272.1
Ceará,NOVA RUSSAS,304.52
Ceará,NOVO ORIENTE,247.79
Ceará,OCARA,208.77
Ceará,ORÓS,298.84
Ceará,PACAJUS,354.78
Ceará,PACATUBA,344.63
Ceará,PACOTI,279.49
Ceará,PACUJÁ,264.03
Ceará,PALHANO,281.69
Ceará,PALMÁCIA,315.23
Ceará,PARACURU,328.2
Ceará,PARAIPABA,283.79
Ceará,PARAMBU,211.05
Ceará,PARAMOTI,196.63
Ceará,PEDRA BRANCA,231.56
Ceará,PENAFORTE,271.18
Ceará,PENTECOSTE,264.95
Ceará,PEREIRO,209.49
Ceará,PINDORETAMA,296.99
Ceará,PIQUET CARNEIRO,217.02
Ceará,PIRES FERREIRA,191.39
Ceará,PORANGA,212.87
Ceará,PORTEIRAS,218.44
Ceará,POTENGI,215.12
Ceará,POTIRETAMA,236.09
Ceará,QUITERIANÓPOLIS,208.58
Ceará,QUIXADÁ,317.66
Ceará,QUIXELÔ,242.27
Ceará,QUIXERAMOBIM,317.45
Ceará,QUIXERÉ,260.79
Ceará,REDENÇÃO,273.08
Ceará,RERIUTABA,260.65
Ceará,RUSSAS,372.43
Ceará,SABOEIRO,220.94
Ceará,SALITRE,176.75
Ceará,SANTANA DO ACARAÚ,224.83
Ceará,SANTANA DO CARIRI,212.7
Ceará,SANTA QUITÉRIA,238.84
Ceará,SÃO BENEDITO,263.94
Ceará,SÃO GONÇALO DO AMARANTE,309.14
Ceará,SÃO JOÃO DO JAGUARIBE,378.76
Ceará,SÃO LUÍS DO CURU,257.9
Ceará,SENADOR POMPEU,283.8
Ceará,SENADOR SÁ,214.23
Ceará,SOBRAL,448.89
Ceará,SOLONÓPOLE,269.25
Ceará,TABULEIRO DO NORTE,379.75
Ceará,TAMBORIL,211.64
Ceará,TARRAFAS,214.72
Ceará,TAUÁ,305.42
Ceará,TEJUÇUOCA,199.81
Ceará,TIANGUÁ,398.29
Ceará,TRAIRI,205.89
Ceará,TURURU,188.84
Ceará,UBAJARA,325.13
Ceará,UMARI,223.62
Ceará,UMIRIM,195.42
Ceará,URUBURETAMA,267.47
Ceará,URUOCA,182.85
Ceará,VARJOTA,286.41
Ceará,VÁRZEA ALEGRE,276.17
Ceará,VIÇOSA DO CEARÁ,204.23
Rio Grande do Norte,ACARI,410.61
Rio Grande do Norte,AÇU,432.38
Rio Grande do Norte,AFONSO BEZERRA,261.3
Rio Grande do Norte,ÁGUA NOVA,212.82
Rio Grande do Norte,ALEXANDRIA,296.5
Rio Grande do Norte,ALMINO AFONSO,291.3
Rio Grande do Norte,ALTO DO RODRIGUES,447.67
Rio Grande do Norte,ANGICOS,347.65
Rio Grande do Norte,ANTÔNIO MARTINS,251.04
Rio Grande do Norte,APODI,358.66
Rio Grande do Norte,AREIA BRANCA,449.02
Rio Grande do Norte,ARÊS,309.04
Rio Grande do Norte,AUGUSTO SEVERO,388.39
Rio Grande do Norte,BAÍA FORMOSA,315.25
Rio Grande do Norte,BARAÚNA,263.68
Rio Grande do Norte,BARCELONA,266.71
Rio Grande do Norte,BENTO FERNANDES,233.48
Rio Grande do Norte,BODÓ,277.16
Rio Grande do Norte,BOM JESUS,300.38
Rio Grande do Norte,BREJINHO,304.8
Rio Grande do Norte,CAIÇARA DO NORTE,280.53
Rio Grande do Norte,CAIÇARA DO RIO DO VENTO,250.07
Rio Grande do Norte,CAICÓ,637.13
Rio Grande do Norte,CAMPO REDONDO,251.73
Rio Grande do Norte,CANGUARETAMA,256.22
Rio Grande do Norte,CARAÚBAS,321.99
Rio Grande do Norte,CARNAÚBA DOS DANTAS,387.8
Rio Grande do Norte,CARNAUBAIS,300.27
Rio Grande do Norte,CEARÁ-MIRIM,332.89
Rio Grande do Norte,CERRO CORÁ,282.84
Rio Grande do Norte,CORONEL EZEQUIEL,238.25
Rio Grande do Norte,CORONEL JOÃO PESSOA,243.22
Rio Grande do Norte,CRUZETA,339.38
Rio Grande do Norte,CURRAIS NOVOS,526.96
Rio Grande do Norte,DOUTOR SEVERIANO,272.21
Rio Grande do Norte,PARNAMIRIM,850.44
Rio Grande do Norte,ENCANTO,312.34
Rio Grande do Norte,EQUADOR,292.55
Rio Grande do Norte,ESPÍRITO SANTO,243.23
Rio Grande do Norte,EXTREMOZ,428.65
Rio Grande do Norte,FELIPE GUERRA,298.6
Rio Grande do Norte,FERNANDO PEDROZA,269.67
Rio Grande do Norte,FLORÂNIA,359
Rio Grande do Norte,FRANCISCO DANTAS,298.43
Rio Grande do Norte,FRUTUOSO GOMES,269.48
Rio Grande do Norte,GALINHOS,291.78
Rio Grande do Norte,GOIANINHA,377.59
Rio Grande do Norte,GOVERNADOR DIX-SEPT ROSADO,267.12
Rio Grande do Norte,GROSSOS,410.84
Rio Grande do Norte,GUAMARÉ,407.49
Rio Grande do Norte,IELMO MARINHO,204.5
Rio Grande do Norte,IPANGUAÇU,273.8
Rio Grande do Norte,IPUEIRA,395.09
Rio Grande do Norte,ITAJÁ,306
Rio Grande do Norte,ITAÚ,310.63
Rio Grande do Norte,JAÇANÃ,259.77
Rio Grande do Norte,JANDAÍRA,261.85
Rio Grande do Norte,JANDUÍS,272.39
Rio Grande do Norte,JANUÁRIO CICCO,192.34
Rio Grande do Norte,JAPI,214.04
Rio Grande do Norte,JARDIM DE ANGICOS,255.49
Rio Grande do Norte,JARDIM DE PIRANHAS,314.6
Rio Grande do Norte,JARDIM DO SERIDÓ,447.53
Rio Grande do Norte,JOÃO CÂMARA,335.64
Rio Grande do Norte,JOÃO DIAS,174.39
Rio Grande do Norte,JOSÉ DA PENHA,301.09
Rio Grande do Norte,JUCURUTU,301.94
Rio Grande do Norte,JUNDIÁ,248.13
Rio Grande do Norte,LAGOA D'ANTA,295.37
Rio Grande do Norte,LAGOA DE PEDRAS,214.84
Rio Grande do Norte,LAGOA DE VELHOS,270.76
Rio Grande do Norte,LAGOA NOVA,233.77
Rio Grande do Norte,LAGOA SALGADA,247.22
Rio Grande do Norte,LAJES,292.5
Rio Grande do Norte,LAJES PINTADAS,258.98
Rio Grande do Norte,LUCRÉCIA,388.31
Rio Grande do Norte,LUÍS GOMES,237.26
Rio Grande do Norte,MACAÍBA,363.97
Rio Grande do Norte,MACAU,457.22
Rio Grande do Norte,MAJOR SALES,282.48
Rio Grande do Norte,MARCELINO VIEIRA,279.42
Rio Grande do Norte,MARTINS,295.35
Rio Grande do Norte,MAXARANGUAPE,298.87
Rio Grande do Norte,MESSIAS TARGINO,350.8
Rio Grande do Norte,MONTANHAS,249.75
Rio Grande do Norte,MONTE ALEGRE,292.15
Rio Grande do Norte,MONTE DAS GAMELEIRAS,261.41
Rio Grande do Norte,MOSSORÓ,600.28
Rio Grande do Norte,NATAL,950.34
Rio Grande do Norte,NÍSIA FLORESTA,337.75
Rio Grande do Norte,NOVA CRUZ,313.34
Rio Grande do Norte,OLHO-D'ÁGUA DO BORGES,290.17
Rio Grande do Norte,OURO BRANCO,355.71
Rio Grande do Norte,PARANÁ,219.34
Rio Grande do Norte,PARAÚ,298.75
Rio Grande do Norte,PARAZINHO,234.75
Rio Grande do Norte,PARELHAS,390.54
Rio Grande do Norte,RIO DO FOGO,239.1
Rio Grande do Norte,PASSA E FICA,269.09
Rio Grande do Norte,PASSAGEM,241.15
Rio Grande do Norte,PATU,331.98
Rio Grande do Norte,SANTA MARIA,251.9
Rio Grande do Norte,PAU DOS FERROS,504.82
Rio Grande do Norte,PEDRA GRANDE,210.52
Rio Grande do Norte,PEDRA PRETA,216.3
Rio Grande do Norte,PEDRO AVELINO,289.53
Rio Grande do Norte,PEDRO VELHO,263.8
Rio Grande do Norte,PENDÊNCIAS,412.01
Rio Grande do Norte,PILÕES,270.87
Rio Grande do Norte,POÇO BRANCO,263.9
Rio Grande do Norte,PORTALEGRE,296.9
Rio Grande do Norte,PORTO DO MANGUE,257.49
Rio Grande do Norte,PRESIDENTE JUSCELINO,247.77
Rio Grande do Norte,PUREZA,198.93
Rio Grande do Norte,RAFAEL FERNANDES,311.04
Rio Grande do Norte,RAFAEL GODEIRO,300.88
Rio Grande do Norte,RIACHO DA CRUZ,237.37
Rio Grande do Norte,RIACHO DE SANTANA,237.37
Rio Grande do Norte,RIACHUELO,262.85
Rio Grande do Norte,RODOLFO FERNANDES,263.32
Rio Grande do Norte,TIBAU,396.51
Rio Grande do Norte,RUY BARBOSA,241.96
Rio Grande do Norte,SANTA CRUZ,327.61
Rio Grande do Norte,SANTANA DO MATOS,258.64
Rio Grande do Norte,SANTANA DO SERIDÓ,325.16
Rio Grande do Norte,SANTO ANTÔNIO,323.81
Rio Grande do Norte,SÃO BENTO DO NORTE,231.17
Rio Grande do Norte,SÃO BENTO DO TRAIRÍ,210.78
Rio Grande do Norte,SÃO FERNANDO,316.21
Rio Grande do Norte,SÃO FRANCISCO DO OESTE,298.15
Rio Grande do Norte,SÃO GONÇALO DO AMARANTE,377.16
Rio Grande do Norte,SÃO JOÃO DO SABUGI,379.2
Rio Grande do Norte,SÃO JOSÉ DE MIPIBU,331.85
Rio Grande do Norte,SÃO JOSÉ DO CAMPESTRE,267.55
Rio Grande do Norte,SÃO JOSÉ DO SERIDÓ,414.22
Rio Grande do Norte,SÃO MIGUEL,285.2
Rio Grande do Norte,SÃO MIGUEL DO GOSTOSO,257.1
Rio Grande do Norte,SÃO PAULO DO POTENGI,303.74
Rio Grande do Norte,SÃO PEDRO,285.21
Rio Grande do Norte,SÃO RAFAEL,309.77
Rio Grande do Norte,SÃO TOMÉ,268.71
Rio Grande do Norte,SÃO VICENTE,346.89
Rio Grande do Norte,SENADOR ELÓI DE SOUZA,207.76
Rio Grande do Norte,SENADOR GEORGINO AVELINO,234.85
Rio Grande do Norte,SERRA DE SÃO BENTO,247.06
Rio Grande do Norte,SERRA DO MEL,284.48
Rio Grande do Norte,SERRA NEGRA DO NORTE,292.16
Rio Grande do Norte,SERRINHA,240.51
Rio Grande do Norte,SERRINHA DOS PINTOS,252.46
Rio Grande do Norte,SEVERIANO MELO,293.49
Rio Grande do Norte,SÍTIO NOVO,214.04
Rio Grande do Norte,TABOLEIRO GRANDE,277.54
Rio Grande do Norte,TAIPU,235.78
Rio Grande do Norte,TANGARÁ,270.47
Rio Grande do Norte,TENENTE ANANIAS,276.94
Rio Grande do Norte,TENENTE LAURENTINO CRUZ,259.72
Rio Grande do Norte,TIBAU DO SUL,523.75
Rio Grande do Norte,TIMBAÚBA DOS BATISTAS,365.42
Rio Grande do Norte,TOUROS,264.4
Rio Grande do Norte,TRIUNFO POTIGUAR,294.09
Rio Grande do Norte,UMARIZAL,313.6
Rio Grande do Norte,UPANEMA,233.97
Rio Grande do Norte,VÁRZEA,289.33
Rio Grande do Norte,VENHA-VER,180.53
Rio Grande do Norte,VERA CRUZ,258.12
Rio Grande do Norte,VIÇOSA,247.9
Rio Grande do Norte,VILA FLOR,262.96
Paraíba,ÁGUA BRANCA,233.65
Paraíba,AGUIAR,407.32
Paraíba,ALAGOA GRANDE,287.94
Paraíba,ALAGOA NOVA,272.81
Paraíba,ALAGOINHA,284.64
Paraíba,ALCANTIL,245.01
Paraíba,ALGODÃO DE JANDAÍRA,218.7
Paraíba,ALHANDRA,236.14
Paraíba,SÃO JOÃO DO RIO DO PEIXE,306.87
Paraíba,AMPARO,225.5
Paraíba,APARECIDA,271.98
Paraíba,ARAÇAGI,230.52
Paraíba,ARARA,276.67
Paraíba,ARARUNA,244.02
Paraíba,AREIA,319.92
Paraíba,AREIA DE BARAÚNAS,270.54
Paraíba,AREIAL,282.18
Paraíba,AROEIRAS,226.05
Paraíba,ASSUNÇÃO,336.67
Paraíba,BAÍA DA TRAIÇÃO,231.78
Paraíba,BANANEIRAS,253.3
Paraíba,BARAÚNA,211.36
Paraíba,BARRA DE SANTANA,211.08
Paraíba,BARRA DE SANTA ROSA,233.51
Paraíba,BARRA DE SÃO MIGUEL,302.44
Paraíba,BAYEUX,376.74
Paraíba,BELÉM,256.2
Paraíba,BELÉM DO BREJO DO CRUZ,245.71
Paraíba,BERNARDINO BATISTA,211.04
Paraíba,BOA VENTURA,271.06
Paraíba,BOA VISTA,314.11
Paraíba,BOM JESUS,303.29
Paraíba,BOM SUCESSO,257.9
Paraíba,BONITO DE SANTA FÉ,267.09
Paraíba,BOQUEIRÃO,319.11
Paraíba,IGARACY,286.68
Paraíba,BORBOREMA,236.01
Paraíba,BREJO DO CRUZ,287.2
Paraíba,BREJO DOS SANTOS,267.6
Paraíba,CAAPORÃ,268.46
Paraíba,CABACEIRAS,283.93
Paraíba,CABEDELO,1036.21
Paraíba,CACHOEIRA DOS ÍNDIOS,301.77
Paraíba,CACIMBA DE AREIA,249.79
Paraíba,CACIMBA DE DENTRO,246.21
Paraíba,CACIMBAS,181.17
Paraíba,CAIÇARA,294.68
Paraíba,CAJAZEIRAS,511.56
Paraíba,CAJAZEIRINHAS,205.12
Paraíba,CALDAS BRANDÃO,264.06
Paraíba,CAMALAÚ,242.92
